district_name,state_name,women_bmi_below_normal,women_overweight,anaemia_children,anaemia_women,women_high_blood_sugar,men_high_blood_sugar,women_elevated_bp,men_elevated_bp,tobacco_women,tobacco_men
Nicobars,Andaman & Nicobar Islands,8.2,39.1,37.7,38.4,7.4,9.6,35.4,47.0,63.5,76.8
North & Middle Andaman,Andaman & Nicobar Islands,8.6,35.9,30.4,62.5,7.2,9.1,27.4,32.2,46.8,70.5
South Andaman,Andaman & Nicobar Islands,10.0,39.0,43.4,57.6,7.5,9.3,23.0,26.9,19.6,50.8
Srikakulam,Andhra Pradesh,13.8,27.2,59.6,62.8,8.2,6.8,22.1,22.9,7.1,21.3
Vizianagaram,Andhra Pradesh,16.9,28.8,66.7,64.6,6.2,5.8,25.2,25.1,11.4,21.5
Visakhapatnam,Andhra Pradesh,17.4,23.8,72.6,58.6,6.1,7.3,23.9,29.2,6.3,22.8
East Godavari,Andhra Pradesh,10.2,44.4,66.8,63.2,7.5,9.2,29.0,32.2,3.2,25.5
West Godavari,Andhra Pradesh,10.1,45.3,62.3,63.1,7.3,7.2,28.8,31.4,2.2,21.8
Krishna,Andhra Pradesh,10.5,40.6,65.7,60.4,7.9,8.5,24.0,28.5,1.4,21.3
Guntur,Andhra Pradesh,9.6,46.4,59.3,59.8,7.8,10.7,25.8,31.3,1.6,25.4
Prakasam,Andhra Pradesh,14.4,39.5,62.6,60.6,7.9,11.8,27.8,33.0,2.2,28.2
Sri Potti Sriramulu Nello,Andhra Pradesh,15.2,39.5,67.5,59.6,8.2,7.2,23.0,25.1,4.4,26.5
Y.S.R.,Andhra Pradesh,15.9,33.9,60.6,56.1,8.4,9.9,23.2,27.3,3.1,18.0
Kurnool,Andhra Pradesh,20.6,29.0,70.8,58.3,6.9,9.2,27.0,31.8,2.1,19.9
Anantapur,Andhra Pradesh,21.9,29.3,55.8,50.3,5.4,7.5,23.4,26.7,5.0,20.5
Chittoor,Andhra Pradesh,20.1,33.4,54.9,51.8,6.9,7.2,22.7,27.1,4.3,18.7
Tawang,Arunachal Pradesh,1.2,35.4,89.6,59.2,3.1,5.5,30.3,36.4,5.1,24.0
West Kameng,Arunachal Pradesh,1.9,25.7,66.6,38.4,3.6,8.0,19.8,30.7,13.9,38.7
East Kameng,Arunachal Pradesh,4.8,19.6,51.7,26.9,4.3,6.7,19.5,29.0,24.9,48.2
Papum Pare,Arunachal Pradesh,5.3,31.1,53.4,39.4,4.8,5.3,20.6,32.7,16.1,43.7
Upper Subansiri,Arunachal Pradesh,2.8,25.0,60.4,36.6,3.6,5.3,25.4,37.5,19.8,55.3
Upper Siang,Arunachal Pradesh,2.4,27.3,51.0,29.4,4.0,5.7,26.1,31.7,21.3,59.2
Changlang,Arunachal Pradesh,10.5,17.1,65.3,57.1,5.6,8.2,22.8,27.5,21.9,59.9
Lower Subansiri,Arunachal Pradesh,4.3,23.2,52.4,41.1,4.9,8.3,25.7,36.6,18.0,46.7
Dibang Valley,Arunachal Pradesh,3.8,21.7,88.6,64.3,3.5,5.5,32.2,45.4,20.3,55.4
Lower Dibang Valley,Arunachal Pradesh,4.1,16.8,51.5,35.3,4.6,7.1,25.6,38.1,20.6,52.1
Anjaw,Arunachal Pradesh,2.4,22.8,57.1,36.9,4.0,7.4,31.1,42.6,22.1,66.1
East Siang,Arunachal Pradesh,6.8,27.9,51.5,35.3,5.6,7.8,29.7,38.1,24.7,51.3
Kra Daadi,Arunachal Pradesh,2.0,29.8,62.0,24.3,2.7,5.2,19.4,26.1,9.9,25.0
Kurung Kumey,Arunachal Pradesh,2.7,23.3,62.4,35.5,4.1,7.0,19.2,26.0,16.4,39.4
Lohit,Arunachal Pradesh,8.0,30.9,52.5,47.6,4.0,3.2,22.1,26.6,17.8,53.0
Longding,Arunachal Pradesh,4.0,13.7,38.4,35.0,5.3,7.3,20.5,31.1,16.0,56.1
Namsai,Arunachal Pradesh,12.8,18.0,59.2,58.8,5.6,6.6,27.1,28.1,25.3,68.8
